grappe,lon_prevu,lat_prevu,lon_reel,lat_reel,suspect
1,18.55853070726244,4.426410545724929,18.550319126939495,4.364822473749719,False
2,18.51173858065408,4.2668866964841605,18.51528698405946,4.356890277830504,False
3,18.55663020259223,4.349189607126344,18.512632792964794,4.35164322963079,False
4,18.547172164818097,4.2553490050321985,18.534160069892575,4.325523493831672,False
5,18.568114668885062,4.290439914465241,18.519432411809042,4.335982360766185,False
6,18.58003957964521,4.305800543655476,18.519383240870994,4.387859313380418,False
7,18.453775295124064,4.385464750443493,18.498088726264093,4.367807791928144,False
8,18.52669957754736,4.398407504661351,18.513518881088928,4.395690975256771,False
9,18.549455209550896,4.37225054095072,18.563657362532265,4.317335492966946,False
10,18.455701512851686,4.3546667962956205,18.51834261490317,4.37351538096971,False
11,18.61407101275834,4.363254606396574,18.550181000714364,4.43393002301345,False
12,18.561620368570008,4.399256789657641,18.54680871088879,4.482218447839359,False
13,18.479314112591894,4.402943950556406,18.614700764519174,4.350647203394953,False
14,18.535343114156678,4.3241426623048635,18.51317342787845,4.388309710311552,True
15,18.571500702352168,4.46287291684081,18.46781674872126,4.3189720616661385,False
16,18.577708889749836,4.332131243671856,18.499094228738596,4.347276999417187,False
17,18.57398296593045,4.393435226786373,18.551648937615624,4.3025291320072565,False
18,18.501352194937574,4.323814465409523,18.538217020057395,4.388365566802387,False
19,18.49504657444464,4.330038059467523,18.52713109447635,4.366725010429748,False
20,18.653276566950506,4.38395689072306,18.487052787149302,4.3149801326500254,False
21,18.65455673265241,4.368726162796115,18.50324934790889,4.376728560942336,False
22,18.514089135754066,4.408743935319088,18.6036079816093,4.313085083121107,False
23,18.476119528683263,4.357575792409759,18.5371496700279,4.38323505205209,False
24,18.579627343834705,4.382282233672711,18.549907579038727,4.333858437530753,False
25,18.563985080511443,4.37523498713462,18.56201396719637,4.3575817190795005,False
26,18.602000624713355,4.348601858793897,18.528744251532867,4.441634868045292,False
27,18.50260861159789,4.372246623914401,18.577773165412925,4.350594642626859,False
28,18.517322965638996,4.342459196623315,18.50838919709601,4.30186649018156,False
29,18.548398448122242,4.369016742372828,18.580766423067885,4.469103178364576,False
30,18.61606711340305,4.2684605624236,18.580730179760366,4.39080165871361,False
31,18.59811315960045,4.328358744448572,18.585182558128356,4.411219992253958,False
